Reference Number,Grid Ref: Easting,Grid Ref: Northing,Number of Vehicles,Accident Date,Time (24hr),1st Road Class & No,Road Surface,Lighting Conditions,Weather Conditions,Type of Vehicle,Casualty Class,Casualty Severity,Sex of Casualty,Age of Casualty
4AG0553,398763,414651,2,16/10/2017,1011,M62,Dry,Daylight:street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,43
4AH1313,408248,424463,1,17/10/2017,1607,U,Dry,Daylight:street lights present,Fine without high winds,Car,Pedestrian,Slight,Male,87
4AI0485,408478,424678,1,18/10/2017,1007,U,Dry,Daylight:street lights present,Fine without high winds,Car,Pedestrian,Slight,Male,59
4AJ0397,398756,414775,1,19/10/2017,0840,A672,Dry,Daylight:street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,33
4AJ1074,408548,424252,2,14/10/2017,1130,U,Dry,Daylight:street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Male,29
4AL0093,406210,423679,2,21/10/2017,0055,A58,Dry,Darkness: street lights present and lit,Fine without high winds,Taxi/Private hire car,Vehicle or pillion passenger,Slight,Male,27
4AM1166,407423,424456,4,22/10/2017,1531,U,Dry,Daylight:street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Female,56
4AP1089,416486,422145,2,25/10/2017,1450,A644,Dry,Daylight:street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,24
4AR1368,405993,424248,1,27/10/2017,1630,A646,Dry,Daylight:street lights present,Fine without high winds,Goods vehicle 3.5 tonnes mgw and under,Pedestrian,Serious,Female,15
4AS0987,413192,425420,2,28/10/2017,1313,A649,Dry,Daylight:street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Female,30
4AT0998,409396,424132,2,29/10/2017,1220,U,Dry,Daylight:street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,41
4AV0735,413387,421283,2,31/10/2017,1202,U,Dry,Daylight:street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,33
4AV1397,409360,425655,1,31/10/2017,1720,U,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Pedestrian,Slight,Male,25
4AV1733,406660,424027,2,31/10/2017,1851,U,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Slight,Male,34
4B10338,407977,418289,3,01/11/2017,0744,B6112,Dry,Daylight:street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,28
4B42407,407132,424483,1,04/11/2017,2331,U,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Pedestrian,Slight,Male,42
4B50624,416838,422088,3,05/11/2017,1020,A644,Dry,Daylight:street lights present,Fine without high winds,Goods vehicle 3.5 tonnes mgw and under,Vehicle or pillion passenger,Slight,Male,5
4B52500,412961,429052,2,05/11/2017,2259,U,Wet/Damp,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Slight,Female,23
4B61187,408010,424920,1,06/11/2017,1500,U,Dry,Daylight:street lights present,Fine without high winds,Car,Pedestrian,Slight,Female,30
4B61516,407068,426910,2,06/11/2017,1709,U,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Serious,Male,19
4B61523,411252,419565,2,06/11/2017,1713,M62,Dry,Darkness: street lights present and lit,Fine without high winds,Goods vehicle 7.5 tonnes mgw and over,Driver or rider,Slight,Male,64
4B70768,409241,425291,1,07/11/2017,1150,U,Dry,Daylight:street lights present,Fine without high winds,Car,Pedestrian,Slight,Male,27
4B71215,413914,423029,1,07/11/2017,1615,A6025,Dry,Daylight:street lights present,Fine without high winds,Goods vehicle 3.5 tonnes mgw and under,Pedestrian,Slight,Male,17
4B81335,409028,428086,2,08/11/2017,1651,U,Wet/Damp,Darkness: no street lighting,Fine without high winds,Car,Driver or rider,Slight,Male,40
4B81461,413587,423186,4,08/11/2017,1743,U,Dry,Darkness: street lighting unknown,Fine without high winds,Car,Driver or rider,Slight,Female,25
4B81864,407345,421802,1,08/11/2017,2100,U,Wet/Damp,Darkness: street lights present and lit,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Male,25
4B91405,407705,426086,1,09/11/2017,1730,U,Wet/Damp,Darkness: street lights present and lit,Fine without high winds,Pedal cycle,Driver or rider,Slight,Male,27
4BB1652,411797,419758,1,11/11/2017,1858,M62,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Serious,Female,26
4BD1322,407448,425244,2,13/11/2017,1644,U,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Slight,Female,56
4BE0996,393362,423775,2,14/11/2017,1420,A6033,Dry,Daylight:street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,61
4BJ0742,409044,426231,2,19/11/2017,1030,U,Dry,Daylight:street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,62
4BJ1085,407002,424567,2,19/11/2017,1515,A646,Dry,Daylight:street lights present,Fine without high winds,Goods vehicle 3.5 tonnes mgw and under,Vehicle or pillion passenger,Serious,Male,47
4BK1661,407006,425861,2,20/11/2017,1930,U,Wet/Damp,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Slight,Female,53
4BN1161,416916,424512,2,23/11/2017,1610,M62,Wet/Damp,Darkness: street lights present and lit,Raining without high winds,Car,Driver or rider,Slight,Male,51
4BO0999,403772,419590,2,24/11/2017,1407,A672,Wet/Damp,Daylight:street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,37
4BP0912,408335,424977,2,25/11/2017,1330,U,Wet/Damp,Daylight:street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,66
4BR0301,410066,421001,1,27/11/2017,1308,U,Wet/Damp,Daylight:street lights present,Fine without high winds,Car,Pedestrian,Slight,Male,14
4BS0373,405685,423221,2,28/11/2017,0850,U,Dry,Daylight:street lights present,Fine without high winds,Motorcycle over 50cc and up to 125cc,Driver or rider,Slight,Male,27
4BS0989,410629,421491,2,28/11/2017,1426,A629,Dry,Daylight:street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,35
4BS1151,408494,426722,1,28/11/2017,1535,U,Wet/Damp,Daylight:street lights present,Fine without high winds,Car,Pedestrian,Slight,Male,6
4BT1522,408335,424978,1,29/11/2017,1835,U,Wet/Damp,Darkness: street lights present and lit,Fine without high winds,Motorcycle - Unknown CC,Pedestrian,Slight,Male,75
4BU1244,407932,425446,1,30/11/2017,1635,U,Wet/Damp,Darkness: street lights present and lit,Fine without high winds,Car,Pedestrian,Slight,Male,10
4C10553,407806,424203,2,01/12/2017,1055,A646,Wet/Damp,Daylight:street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,73
